777	8884
87	6837
?	4022
8	2669
+	2393
幹	1293
BabyRage	1244
打	1191
_	1187
◕	1136
༽	1047
༼	1040
003	955
在	946
!	880
=	866
3	849
死	811
9	794
1	766
統神	749
@	733
つ	710
嗎	690
30	679
被	676
啦	645
好	642
笑	641
阿	635
<	575
咪	572
人	566
%	545
，	532
有	529
姆	515
不	513
可以	485
屌	479
要	475
(	473
啊	472
右手	470
沒	466
2	460
把	446
拉	444
？	443
這	439
